_id,description
8uzq4,AI
8uzq4,演算法設計
8uzq4,生成式AI
8vsve,AI
8vsve,生成式AI
8vsve,網路應用軟體操作
8nwo9,系統架構規劃
8nwo9,韌體工程開發
8nwo9,韌體程式設計
8v203,軟體工程系統開發
8v203,軟體程式設計
8n88p,軟體程式設計
8n88p,韌體程式設計
8ik9c,伺服器網站管理維護
8ik9c,資料庫軟體應用
8ik9c,資料庫程式設計
8ik9c,資料庫系統管理維護
8ik9c,軟體程式設計
8ik9c,軟體工程系統開發
8ik9c,系統整合分析
8ik9c,系統架構規劃
8ik9c,資訊設備環境設定
8ik9c,資料備份與復原
77phe,軟體程式設計
77phe,網路程式設計
6vazb,軟體程式設計
6vazb,資料庫程式設計
8w0w8,資料庫系統管理維護
8w0w8,資料庫程式設計
8w0w8,資料庫軟體應用
8n0gu,軟體程式設計
8n0gu,軟體工程系統開發
8w1fo,軟體工程系統開發
8w1fo,軟體程式設計
8w1fo,資料庫程式設計
8w1fo,資料庫軟體應用
8tlno,軟體程式設計
695ve,軟體程式設計
695ve,網路程式設計
695ve,資料庫程式設計
77ymq,軟體程式設計
7wceb,作業系統基本操作
7wceb,電腦設備裝配
7wceb,系統架構規劃
7wceb,軟體工程系統開發
7wceb,軟體程式設計
7wceb,網路程式設計
7wceb,資料庫程式設計
81xrd,軟體程式設計
7x79r,軟體工程系統開發
7x79r,軟體程式設計
7x79r,網路程式設計
7x79r,資料庫程式設計
8n0gm,軟體程式設計
8n0gm,軟體工程系統開發
8n0gm,資料庫程式設計
7olfm,軟體工程系統開發
7olfm,軟體程式設計
7olfm,資料庫軟體應用
8ca4p,軟體工程系統開發
8ca4p,軟體程式設計
7lngy,系統架構規劃
7lngy,系統整合分析
7lngy,軟體工程系統開發
7lngy,軟體程式設計
7lngy,網路程式設計
7lngy,資料庫系統管理維護
7lngy,資料庫程式設計
7lngy,資料庫軟體應用
8qehr,AI
8qehr,機器學習
8qehr,深度學習
8qehr,人工智慧
